Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 19:55:31,0,0.5,0,246.1,0.8,244.9,109,0,0,124,49.98,0,0,9,1235
2018/7/1 20:00:31,0,0.5,0,244.7,0.8,241.8,111,0,0,126,49.97,0,0,9,1235
2018/7/1 20:05:31,0,0.4,0,250.2,0.8,244.8,102,0,0,120,49.96,0,0,9,1235
2018/7/1 20:10:31,0,0.4,0,243.8,0.8,244.4,86,0,0,101,49.97,0,0,9,1235
2018/7/1 20:15:31,0,0.3,0,238.9,0.7,242.8,70,0,0,84,49.95,0,0,9,1235
2018/7/1 20:20:31,0,0.3,0,238.4,0.7,242.4,61,0,0,77,49.93,0,0,9,1235
2018/7/1 20:25:31,0,0.2,0,232.8,0.7,245,53,0,0,67,49.97,0,0,9,1235
2018/7/1 20:30:31,0,0.2,0,229.5,0.7,244.3,42,0,0,55,49.98,0,0,9,1235
2018/7/1 20:35:31,0,0.2,0,228.2,0.7,244,34,0,0,47,50,0,0,9,1235
2018/7/1 20:40:31,0,0.1,0,206.9,0.6,244.2,21,0,0,32,50,0,0,9,1235
2018/7/1 20:45:31,0,0.1,0,211.8,0.6,244.9,17,0,0,28,50.02,0,0,9,1235
2018/7/1 20:50:31,0,0.1,0,200.6,0.6,244.4,13,0,0,24,49.98,0,0,9,1235
2018/7/1 20:55:31,0,0.1,0,200.2,0.6,243.2,10,0,0,22,49.94,0,0,9,1235
2018/7/1 21:00:31,0,0,0,195.5,0.6,242.7,6,0,0,16,49.93,0,0,9,1235
2018/7/1 21:05:31,0,0,0,202.3,0.6,242.2,5,0,0,15,49.9,0,0,9,1235
2018/7/1 21:10:31,0,0,0,198,0.6,240.7,4,0,0,14,49.96,0,0,9,1235
2018/7/1 21:15:31,0,0,0,197.4,0.5,242.5,5,0,0,15,49.95,0,0,9,1235
2018/7/1 21:20:31,0,0,0,198.8,0.5,242.5,5,0,0,15,49.95,0,0,9,1235
2018/7/1 21:25:31,0,0,0,190.5,0,240.6,4,0,0,14,49.95,0,0,9,1235
2018/7/1 21:30:32,0,0,0,143.6,0.4,240.6,4,0,0,14,49.96,0,0,9,1235
2018/7/1 21:35:31,0,0,0,93.5,0,240.8,0,0,5,0,49.95,0,0,9,1235
2018/7/2 3:50:34,0,0,0,87.5,0.4,244.5,0,0,5,0,50.01,0,0,0,1235
2018/7/2 3:50:38,0,0,0,87.5,0.4,244.5,0,0,5,0,0,0,0,1235,
2018/7/2 4:00:38,0,0,0,91.8,0.4,244.9,0,0,5,0,0,0,0,1235,
2018/7/2 4:05:35,0,0,0,87.7,0.4,245.3,0,0,5,0,0,0,0,1235,
2018/7/2 4:10:34,0,0,0,79,0.4,244.6,0,0,5,0,50.01,0,0,0,1235
